Voltage (V),Current (A),Power (W),Delta Time (s),Energy_step_Wh,Cumulative_Energy_Wh,Cumulative_time_s,power_smooth
23.96,2.04,48.8,2.131,0.028886888888888886,246.44522988889048,11106.509000000084,79.34583508683296
23.98,2.04,48.9,2.123,0.028837416666666667,246.47406730555716,11108.632000000083,80.80091483821225
23.96,1.77,42.4,2.119,0.024957111111111114,246.49902441666828,11110.751000000084,82.30060419005328
23.96,2.25,53.9,2.128,0.03186088888888889,246.53088530555718,11112.879000000084,82.27248122096914
23.97,1.5,35.9,2.119,0.02113113888888889,246.55201644444605,11114.998000000085,82.15748051343903
23.98,1.8,43.1,2.119,0.025369138888888892,246.57738558333494,11117.117000000086,82.04189083798276
23.98,2.25,53.9,2.115,0.03166625,246.60905183333495,11119.232000000085,81.98164135145
24.0,1.41,33.8,2.13,0.01999833333333333,246.62905016666826,11121.362000000085,81.78410555098587
23.96,1.74,41.6,2.123,0.024532444444444447,246.6535826111127,11123.485000000084,80.15418368224805
24.0,1.62,38.8,2.118,0.02282733333333333,246.67640994444605,11125.603000000085,78.47520312398878
23.99,1.56,37.4,2.129,0.022117944444444444,246.69852788889048,11127.732000000085,78.30590213038005
23.99,1.8,43.1,2.116,0.025333222222222222,246.7238611111127,11129.848000000085,78.25305732403815
23.62,10.92,257.9,2.118,0.15173116666666664,246.8755922777794,11131.966000000086,78.14663036533456
23.63,10.74,253.7,2.118,0.14926016666666667,247.02485244444605,11134.084000000086,78.06274885942986
23.96,6.57,157.4,2.127,0.09299716666666666,247.11784961111272,11136.211000000087,77.86586816155014
23.96,2.28,54.6,2.118,0.032123,247.14997261111273,11138.329000000087,77.74611418247886
23.98,1.95,46.7,2.12,0.02750111111111111,247.17747372222385,11140.449000000088,77.62530408094545
23.96,2.28,54.6,2.131,0.032320166666666664,247.20979388889052,11142.580000000087,78.87409328097212
23.98,2.31,55.3,2.116,0.03250411111111111,247.24229800000163,11144.696000000087,80.33039013174441
23.97,1.68,40.2,2.12,0.023673333333333334,247.26597133333496,11146.816000000088,81.68222178467978
23.97,2.28,54.6,2.131,0.032320166666666664,247.29829150000162,11148.947000000087,81.58112457744657
23.99,1.41,33.8,2.128,0.019979555555555556,247.31827105555718,11151.075000000088,81.59571650628418
23.99,1.29,30.9,2.118,0.018179499999999998,247.33645055555718,11153.193000000088,79.94491692348528
23.97,1.74,41.7,2.126,0.024626166666666668,247.36107672222386,11155.319000000089,78.44211237061153
23.96,2.28,54.6,2.12,0.03215333333333334,247.39323005555718,11157.43900000009,76.97965442985141
23.98,1.77,42.4,2.117,0.024933555555555556,247.41816361111273,11159.55600000009,76.95034827847837
23.66,6.12,144.7,2.133,0.08573474999999998,247.50389836111273,11161.68900000009,76.96993089858577
23.65,10.71,253.2,2.116,0.14882533333333334,247.65272369444605,11163.80500000009,76.93997315456825
